日	A	日曰
弓火卜竹口	NFYHR	𩺬
弓火卜竹尸	NFYHS	魴
弓火卜戈山	NFYIU	鯍
弓火卜十十	NFYJJ	鰱
弓火卜大	NFYK	魰
弓火卜中水	NFYLE	𩻸
弓火卜一火	NFYMF	鮛
弓火卜一竹	NFYMH	鱥
弓火卜一人	NFYMO	鱁
弓火卜人十	NFYOJ	䱣
弓火卜心大	NFYPK	鰬
弓火卜心一	NFYPM	鱋
弓火卜心尸	NFYPS	䲐
弓火卜心廿	NFYPT	鱸
弓火卜心山	NFYPU	鯱
弓火卜口	NFYR	鮎
弓火卜口月	NFYRB	鰝
弓火卜口木	NFYRD	鯙
弓火卜口火	NFYRF	鯨
弓火卜尸人	NFYSO	䲂
弓火卜尸卜	NFYSY	鯲
弓火卜廿	NFYT	𩶘
弓火卜廿十	NFYTJ	鱆
弓火卜廿女	NFYTV	鯜
弓火卜女	NFYV	䰶
弓火卜女戈	NFYVI	鮌
弓火卜田一	NFYWM	鱣
弓火卜難	NFYX	鱭
弓土	NG	丑
弓土戈	NGI	厾
弓土一月金	NGMBC	頲
弓土一月人	NGMBO	颋
弓土一田一	NGMWM	疆
弓竹日廿水	NHATE	䂍
弓竹月金口	NHBCR	矞
弓竹月山水	NHBUE	矡
弓竹木	NHD	柔
弓竹木女	NHDV	㢻
弓竹水	NHE	及
弓竹水心	NHEP	㤂
弓竹火月	NHFB	矟
弓竹竹山金	NHHUC	䂎
弓竹中戈	NHLI	虱
弓竹中戈戈	NHLII	蟊
弓竹中一戈	NHLMI	䂈䖥
弓竹弓日人	NHNAO	䂊
弓竹弓土	NHNG	䂇
弓竹弓女一	NHNVM	骘
弓竹人戈戈	NHOII	矝
弓竹人戈弓	NHOIN	矜
弓竹人大	NHOK	敄
弓竹人大尸	NHOKS	務
弓竹人弓大	NHONK	䂉
弓竹心戈	NHPI	䂆
弓竹心一	NHPM	弤
弓竹尸	NHS	乃
弓竹尸手火	NHSQF	騭
弓竹廿日	NHTA	矠
弓竹女	NHV	𡛺
弓竹女人	NHVO	弧
弓竹難	NHX	臽
弓竹卜廿土	NHYTG	䂌
弓戈	NI	龴夕弘
弓戈日戈中	NIAIL	𡖖
弓戈月手	NIBQ	甬
弓戈金	NIC	䥒
弓戈火	NIF	㢱
弓戈竹日火	NIHAF	鵵
弓戈竹手	NIHQ	犟
弓戈竹手一	NIHQM	夝
弓戈十	NIJ	㚈
弓戈十一金	NIJMC	夤
弓戈大尸	NIKS	勥
弓戈中戈	NILI	強
弓戈中弓	NILN	劖
弓戈弓竹	NINH	矛
弓戈弓戈	NINI	多
弓戈弓戈戈	NINII	𠓗
弓戈弓中	NINL	邜酁
弓戈弓弓	NINN	予
弓戈人戈女	NIOIV	飧
弓戈手	NIQ	舛
弓戈口	NIR	名
弓戈尸中	NISL	夘
弓戈尸山	NISU	夗
弓戈廿金	NITC	彍
弓戈女	NIV	婱
弓戈田十	NIWJ	圅
弓戈難心	NIXP	麁
弓戈卜	NIY	外
弓戈卜十	NIYJ	斘
弓戈卜一口	NIYMR	𧥧謽
弓戈卜人	NIYO	癶
弓十	NJ	卂
弓十月金	NJBC	㣀
弓十土	NJG	塦
弓十竹日火	NJHAF	鳵
弓十十田心	NJJWP	聼
弓十中戈戈	NJLII	蝨
弓大	NK	又夊廴
弓大日	NKA	暓
弓大月金口	NKBCR	𢌡
弓大月口	NKBR	㢠
弓大月山	NKBU	瞀
弓大金	NKC	鍪
弓大木	NKD	楘
弓大火	NKF	煞㷺
弓大土	NKG	堥
弓大竹日	NKHA	廹
弓大竹日火	NKHAF	鶩䳫
弓大竹土	NKHG	廷
弓大竹一中	NKHML	郔
弓大竹卜一	NKHYM	延
弓大戈	NKI	㢬戣
弓大中月	NKLB	㡔
弓大中一戈	NKLMI	蝥
弓大中手	NKLQ	建
弓大中田	NKLW	廸
弓大一金田	NKMCW	廼
弓大一口廿	NKMRT	䜼
弓大弓中	NKNL	鄈
弓大弓女一	NKNVM	骛
弓大弓田火	NKNWF	䱯
弓大人土	NKOG	䨁
弓大人戈女	NKOIV	饏
弓大心	NKP	㤵愗
弓大心卜一	NKPYM	鹜
弓大口竹土	NKRHG	𢌥
弓大尸手火	NKSQF	騖
弓大廿中十	NKTLJ	鞪
弓大山	NKU	嵍
弓大女	NKV	婺
弓大女戈火	NKVIF	䋷
弓大女女女	NKVVV	廵
弓大田口	NKWR	廻
弓大田尸中	NKWSL	廽
弓大卜女	NKYV	㢟
弓中	NL	弔引阝
弓中日	NLA	阳
弓中日火山	NLAFU	𨻙
弓中日土	NLAG	陧
弓中日一竹	NLAMH	陽
弓中日一人	NLAMO	隄
弓中日女	NLAV	限
弓中日女火	NLAVF	隰
弓中月	NLB	阴
弓中月竹火	NLBHF	䧦
弓中月竹難	NLBHX	䧟
弓中月戈	NLBI	𢏐
弓中月一	NLBM	阻
弓中月一心	NLBMP	隱
弓中月人火	NLBOF	際
弓中月手口	NLBQR	䧓
弓中月尸心	NLBSP	隠
弓中月廿	NLBT	盄
弓中月山山	NLBUU	䧋
弓中月女	NLBV	䧌
弓中金弓竹	NLCNH	𨹥
弓中金人口	NLCOR	䧍
弓中木竹水	NLDHE	陂
弓中木大	NLDK	䦼
弓中木人人	NLDOO	䧒
弓中木田	NLDW	陳
弓中木田大	NLDWK	敶
弓中水	NLE	阥
弓中火	NLF	阦
弓中火月	NLFB	陗
弓中火月土	NLFBG	隚
弓中火木手	NLFDQ	隣
弓中火竹火	NLFHF	隙
弓中土金水	NLGCE	陵
弓中土金土	NLGCG	陸
弓中土土山	NLGGU	隢
弓中土戈	NLGI	阹
弓中土弓戈	NLGNI	隯
弓中土尸大	NLGSK	隞
弓中土卜人	NLGYO	陡
弓中竹日火	NLHAF	隝
弓中竹日土	NLHAG	隍
弓中竹日山	NLHAU	﨩
弓中竹月大	NLHBK	隩
弓中竹水	NLHE	阪
弓中竹水十	NLHEJ	䧏
弓中竹水一	NLHEM	隆
弓中竹水手	NLHEQ	降
弓中竹水口	NLHER	䧄
弓中竹竹十	NLHHJ	陴
弓中竹竹田	NLHHW	𨻧
弓中竹戈	NLHI	隗
弓中竹十	NLHJ	阡
弓中竹十木	NLHJD	陎
弓中竹十土	NLHJG	隀
弓中竹十一	NLHJM	陲
弓中竹中月	NLHLB	𨺲
弓中竹心一	NLHPM	阺
弓中竹手口	NLHQR	䧊
弓中竹口火	NLHRF	隖
弓中竹尸	NLHS	阼
弓中竹廿	NLHT	阩
弓中竹廿日	NLHTA	陹
弓中竹廿土	NLHTG	陞
弓中竹田心	NLHWP	䧭
弓中竹難土	NLHXG	隉
弓中戈金水	NLICE	陖
弓中戈竹山	NLIHU	阭
弓中戈竹女	NLIHV	隇
弓中戈戈	NLII	䧖
弓中戈十月	NLIJB	陠
弓中戈大心	NLIKP	陇
弓中戈大女	NLIKV	䧪
弓中戈中月	NLILB	䧡
弓中戈中口	NLILR	䧜
弓中戈口一	NLIRM	䧕
弓中戈尸弓	NLISN	阸
弓中十	NLJ	䦹
弓中十戈戈	NLJII	䧠
弓中十戈心	NLJIP	䧥
弓中十大日	NLJKA	陼
弓中十一金	NLJMC	䧬
弓中十一人	NLJMO	䧑
弓中十一山	NLJMU	院
弓中十心	NLJP	陀
弓中十手心	NLJQP	䧮
弓中十廿金	NLJTC	隫
弓中十田十	NLJWJ	陣
弓中大月	NLKB	陏
弓中大木	NLKD	陈
弓中大戈	NLKI	䧀
弓中大一月	NLKMB	隋
弓中大一一	NLKMM	隓
弓中大一口	NLKMR	陭
弓中大一尸	NLKMS	陓
弓中大弓	NLKN	䧅
弓中大人人	NLKOO	陜陝
弓中大手	NLKQ	阵
弓中大尸	NLKS	阞
弓中大廿	NLKT	陕
弓中中	NLL	䦿
弓中中一金	NLLMC	隤
弓中中一卜	NLLMY	陫
弓中一日	NLMA	陌
弓中一月月	NLMBB	隭
弓中一月大	NLMBK	陾
弓中一月中	NLMBL	陑
弓中一月女	NLMBV	陋
弓中一火	NLMF	阫
弓中一火月	NLMFB	隬
弓中一火十	NLMFJ	𨸶
弓中一火一	NLMFM	𨸹
弓中一中田	NLMLW	䧈
弓中一一火	NLMMF	际
弓中一一山	NLMMU	阮
弓中一一女	NLMMV	陙
弓中一弓	NLMN	䦺
弓中一弓口	NLMNR	阿
弓中一人月	NLMOB	陃
弓中一心一	NLMPM	陚
弓中一口月	NLMRB	隔
弓中一尸山	NLMSU	阨
弓中一山	NLMU	阢
弓中一女一	NLMVM	陘
弓中一田火	NLMWF	䧣
弓中一田土	NLMWG	陻
弓中一卜一	NLMYM	阷
弓中弓月尸	NLNBS	𨺳
弓中弓木	NLND	䦻
弓中弓火火	NLNFF	䧰
弓中弓竹難	NLNHX	陷
弓中弓戈弓	NLNIN	䦽陊
弓中弓十	NLNJ	阠
弓中弓十大	NLNJK	䧩
弓中弓中日	NLNLA	陥
弓中弓一山	NLNMU	陒
弓中弓人一	NLNOM	陉
弓中弓人廿	NLNOT	隥
弓中弓口戈	NLNRI	䧯
弓中弓尸心	NLNSP	隐
弓中人	NLO	队
弓中人日水	NLOAE	䧗
弓中人木戈	NLODI	附
弓中人土	NLOG	陮
弓中人戈戈	NLOII	陰
弓中人戈心	NLOIP	䧔
弓中人中中	NLOLL	阶
弓中人一月	NLOMB	陯
弓中人一木	NLOMD	除
弓中人一一	NLOMM	险
弓中人一弓	NLOMN	隃
弓中人一人	NLOMO	險
弓中人弓	NLON	阣
弓中人心木	NLOPD	陁
弓中人尸戈	NLOSI	隂
弓中心木	NLPD	阤
弓中心火木	NLPFD	陱
弓中心人山	NLPOU	陶
弓中心心	NLPP	阰
弓中心心日	NLPPA	階
弓中心心土	NLPPG	陛
弓中心口	NLPR	䧁
弓中手大戈	NLQKI	陦
弓中手山	NLQU	陆
弓中口月	NLRB	䧎
弓中口月金	NLRBC	隕
弓中口月人	NLRBO	陨
弓中口木	NLRD	𨹦
弓中尸日女	NLSAV	隁
弓中尸竹口	NLSHR	䧂
弓中尸十水	NLSJE	陬
弓中尸大人	NLSKO	陿
弓中尸手火	NLSQF	䧞
弓中尸口十	NLSRJ	隦
弓中尸口口	NLSRR	䧢
弓中廿金	NLTC	䧆
弓中廿金木	NLTCD	䧨
弓中廿金人	NLTCO	䧤
弓中廿金廿	NLTCT	隘
弓中廿土戈	NLTGI	䥀䧧
弓中廿心人	NLTPO	隊
弓中廿廿	NLTT	阱
弓中廿難金	NLTXC	隒
弓中山一戈	NLUMI	䧝
弓中山一廿	NLUMT	隑
弓中山人心	NLUOP	䧙
弓中女弓人	NLVNO	䧘
弓中女女木	NLVVD	隟
弓中田	NLW	䧃
弓中田土	NLWG	䧉
弓中田中月	NLWLB	隅
弓中田一女	NLWMV	隈
弓中田人中	NLWOL	𨺬
弓中難	NLX	彇
弓中卜月心	NLYBP	隴
弓中卜月尸	NLYBS	䧛
弓中卜竹一	NLYHM	隡
弓中卜竹弓	NLYHN	阬
弓中卜竹尸	NLYHS	防
弓中卜竹女	NLYHV	䧇
弓中卜十	NLYJ	阧
弓中卜大月	NLYKB	随隨
弓中卜中竹	NLYLH	陟
弓中卜中一	NLYLM	阯
弓中卜中人	NLYLO	𨺗
弓中卜心山	NLYPU	䖎
弓中卜口	NLYR	阽
弓中卜口月	NLYRB	䧚
弓中卜口木	NLYRD	䧐
弓中卜口人	NLYRO	䧫
弓中卜廿日	NLYTA	隌
弓中卜廿戈	NLYTI	隵
弓中卜廿十	NLYTJ	障
弓中卜廿人	NLYTO	隧
弓中卜廿口	NLYTR	陪
弓中卜女人	NLYVO	陔
弓中卜難	NLYX	隮
弓一	NM	厃㢧
弓一日	NMA	㢶驲
弓一日日	NMAA	鲳
弓一日月廿	NMABT	鳁
弓一日木戈	NMADI	鲥
弓一日戈中	NMAIL	鲫
弓一日一人	NMAMO	鳀
弓一日弓	NMAN	弼
弓一日心心	NMAPP	鲲
弓一日尸一	NMASM	鳎
弓一日山	NMAU	鲃
弓一日田水	NMAWE	鳗
弓一月土	NMBG	㣆
弓一月土口	NMBGR	鲷
弓一月一	NMBM	驵
弓一月一口	NMBMR	鲖
弓一月弓	NMBN	𢏺䰜
弓一月人弓	NMBON	鲗
弓一月人山	NMBOU	鳐
弓一月田木	NMBWD	彚
弓一木	NMD	弙
弓一木竹水	NMDHE	鲏
弓一木中	NMDL	疎
弓一水	NME	驭
弓一水戈戈	NMEII	骚
弓一水手	NMEQ	驿
弓一火月	NMFB	彌
弓一火月戈	NMFBI	鲿
弓一火木手	NMFDQ	鳞
弓一火火廿	NMFFT	彞
弓一土金水	NMGCE	鲮
弓一土土	NMGG	鲑
弓一土口	NMGR	鲒
弓一竹日	NMHA	鲌
弓一竹日水	NMHAE	鳈
弓一竹日土	NMHAG	鳇
弓一竹木	NMHD	稣
弓一竹木火	NMHDF	鳅
弓一竹水木	NMHED	鲦
弓一竹水口	NMHER	骆
弓一竹竹田	NMHHW	骝
弓一竹十口	NMHJR	鳤
弓一竹大中	NMHKL	骄
弓一竹一口	NMHMR	鲘
弓一竹心中	NMHPL	䲟
弓一竹手人	NMHQO	𡘓
弓一竹女火	NMHVF	鲧
弓一竹田心	NMHWP	骢
弓一竹難山	NMHXU	鲵
弓一戈金水	NMICE	骏
弓一戈大水	NMIKE	鲅
弓一戈大竹	NMIKH	骖
弓一戈大山	NMIKU	鱿
弓一戈中月	NMILB	鳙
弓一戈口	NMIR	骀
弓一戈口心	NMIRP	鳡
弓一戈尸	NMIS	驴
弓一戈尸月	NMISB	骗
弓一戈尸一	NMISM	骟
弓一十	NMJ	㢨
弓一十大尸	NMJKS	鲓
弓一十一火	NMJMF	骔
弓一十一山	NMJMU	鲩
弓一十心	NMJP	驼
弓一十心日	NMJPA	鳍
弓一十心山	NMJPU	骁
弓一十廿人	NMJTO	鲼
弓一十女	NMJV	䯃
弓一大	NMK	驮
弓一大月	NMKB	鲔
弓一大大	NMKK	驳
弓一大一口	NMKMR	骑
弓一大尸	NMKS	劲
弓一中水土	NMLEG	鲣
弓一中大	NMLK	驶
弓一中中中	NMLLL	驯
弓一中一戈	NMLMI	蜑
弓一中一卜	NMLMY	鲱
弓一中弓	NMLN	刭
弓一中心金	NMLPC	骥
弓一中田	NMLW	鲉
弓一中田尸	NMLWS	骋
弓一中難	NMLX	骕
弓一一	NMM	彐
弓一一月月	NMMBB	骊
弓一一月中	NMMBL	鲕
弓一一月人	NMMBO	颈
弓一一月尸	NMMBS	鳕
弓一一月山	NMMBU	骦
弓一一水	NMME	录
弓一一火十	NMMFJ	鲆
弓一一中大	NMMLK	鲠
弓一一弓	NMMN	夛
弓一一弓口	NMMNR	鲄
弓一一口	NMMR	䃧
弓一一口田	NMMRW	鲾
弓一一尸	NMMS	㢪
弓一一廿人	NMMTO	鳜
弓一一山	NMMU	㞪
弓一一田火	NMMWF	骠
弓一弓竹戈	NMNHI	鲺
弓一弓戈月	NMNIB	鲬
弓一弓戈一	NMNIM	弱
弓一弓一火	NMNMF	鶸
弓一弓一一	NMNMM	骉
弓一弓人大	NMNOK	骙
弓一弓尸一	NMNSM	驺
弓一人日水	NMOAE	鳆
弓一人木戈	NMODI	驸
弓一人土	NMOG	骓
弓一人戈心	NMOIP	鲶
弓一人大	NMOK	矦
弓一人一戈	NMOMI	鲙
弓一人一一	NMOMM	验
弓一人心十	NMOPJ	骅
弓一人尸	NMOS	鲊
弓一人尸山	NMOSU	䲝
弓一心木	NMPD	驰
弓一心口	NMPR	驹
弓一心口山	NMPRU	鲍
弓一心廿木	NMPTD	鲽
弓一心山	NMPU	鲀
弓一手大日	NMQKA	䲠
弓一手一月	NMQMB	鲭
弓一口月	NMRB	㣂
弓一口人月	NMROB	䯄
弓一口口	NMRR	彁
弓一口口尸	NMRRS	鳄
弓一尸水人	NMSEO	骤
弓一尸火戈	NMSFI	鳚
弓一尸竹	NMSH	鱽
弓一尸十水	NMSJE	䯅鲰
弓一尸大	NMSK	驱
弓一尸大口	NMSKR	鲪
弓一尸一日	NMSMA	鳛
弓一尸一水	NMSME	骎
弓一尸一戈	NMSMI	鲟
弓一尸弓木	NMSND	骣
弓一尸山	NMSU	危
弓一廿金田	NMTCW	䲡
弓一廿十尸	NMTJS	鳓
弓一廿一金	NMTMC	骐
弓一廿人水	NMTOE	鳠
弓一廿手	NMTQ	鲜
弓一廿廿	NMTT	骈
弓一廿廿口	NMTTR	鳝
弓一廿田戈	NMTWI	鳟
弓一廿田廿	NMTWT	鳢
弓一廿難金	NMTXC	鳒
弓一山日	NMUA	㣅
弓一女一	NMVM	弳
弓一女女田	NMVVW	鲻
弓一田金	NMWC	驷
弓一田木	NMWD	骒
弓一田土	NMWG	㢾鲤
弓一田十口	NMWJR	鲴
弓一田大	NMWK	骃
弓一田中火	NMWLF	鳏
弓一田一	NMWM	彊
弓一田一女	NMWMV	鳂
弓一田弓	NMWN	弻
弓一田心	NMWP	鳃
弓一田女火	NMWVF	骡
弓一卜月尸	NMYBS	鳑
弓一卜金大	NMYCK	鲛
弓一卜土	NMYG	驻
弓一卜竹尸	NMYHS	鲂
弓一卜戈山	NMYIU	疏
弓一卜大中	NMYKL	鲚
弓一卜大手	NMYKQ	鲢
弓一卜口	NMYR	鲇
弓一卜口火	NMYRF	鲸
弓一卜口女	NMYRV	骧
弓一卜尸	NMYS	鲈
弓一卜廿	NMYT	䲞
弓一卜廿十	NMYTJ	骍
弓一卜女人	NMYVO	骇
弓一卜田一	NMYWM	鳣
弓弓	NN	了亇
弓弓月手口	NNBQR	㚋
弓弓木	NND	㮗
弓弓土口	NNGR	夡
弓弓竹水	NNHE	𢎽
弓弓十水	NNJE	㩼
弓弓大火	NNKF	㷇
弓弓中一金	NNLMC	㚍
弓弓一	NNM	孑
弓弓一月金	NNMBC	預䫂
弓弓一月人	NNMBO	预
弓弓一金	NNMC	㢲
弓弓一口月	NNMRB	鬻䰞𩱳
弓弓弓日人	NNNAO	豫
弓弓弓戈弓	NNNIN	㐨
弓弓人	NNO	孓
弓弓人大	NNOK	㢸
弓弓人一	NNOM	弪
弓弓心	NNP	㥤
弓弓心口	NNPR	夠
弓弓手人	NNQO	𠄘承
弓弓口	NNR	叾
弓弓尸中	NNSL	卶
弓弓尸一一	NNSMM	翗
弓弓山	NNU	𠙶
弓弓女女山	NNVVU	郺
弓弓田木	NNWD	㚌
弓弓卜女人	NNYVO	㚊
弓人	NO	久欠飞
弓人日一	NOAM	疍
弓人月	NOB	胥
弓人月廿	NOBT	㿿
弓人金	NOC	鐆
弓人木戈	NODI	弣
弓人火	NOF	弥灸𤉋
弓人火木	NOFD	粂
弓人土	NOG	墜墬
弓人竹日火	NOHAF	䴂
弓人竹弓水	NOHNE	癹
弓人竹廿人	NOHTO	飛
弓人竹女	NOHV	㢳
弓人大	NOK	矤
弓人大尸	NOKS	勨
弓人中一戈	NOLMI	蛋
弓人一十	NOMJ	癷
弓人一大	NOMK	癸
弓人一大山	NOMKU	発
弓人一口	NOMR	㢵
弓人一口弓	NOMRN	凳
弓人一口廿	NOMRT	登
弓人弓竹水	NONHE	發
弓人弓大	NONK	㢿
弓人弓人人	NONOO	飝
弓人心	NOP	𢝵
弓人心木	NOPD	㢮
弓人心竹	NOPH	𢞵
弓心木	NPD	弛
弓心戈	NPI	㢩
弓心人	NPO	张
弓心廿木	NPTD	弽
弓手	NQ	丮𢩦
弓手木	NQD	桀
弓手土	NQG	㘶㙰
弓手中一戈	NQLMI	蟹
弓口月	NRB	弲
弓口戈中人	NRILO	㗮
弓口中戈	NRLI	强
弓口一女弓	NRMVN	甔
弓口人土	NROG	𨿅
弓口心心	NRPP	㲋
弓口心心戈	NRPPI	毚
弓口心心大	NRPPK	㚟
弓口口十	NRRJ	彈
弓口女	NRV	娿
弓口女心	NRVP	㢯
弓尸月廿	NSBT	盈
弓尸月山中	NSBUL	鼐
弓尸金	NSC	䥐
弓尸木	NSD	争朶檃
弓尸木竹水	NSDHE	皱
弓尸木十	NSDJ	㭆
弓尸水	NSE	𠃮夃
弓尸火	NSF	尕
弓尸土	NSG	埅
弓尸竹日火	NSHAF	䳱
弓尸竹口	NSHR	弨
弓尸十	NSJ	弭
弓尸十弓	NSJN	㢽
弓尸十口	NSJR	呄
弓尸大	NSK	奦
弓尸中中	NSLL	弬
弓尸一	NSM	刍
弓尸一中尸	NSMLS	戼
弓尸一女	NSMV	張
弓尸弓木	NSND	孕
弓尸弓戈弓	NSNIN	㚉
弓尸弓中	NSNL	邹
弓尸人土	NSOG	雏
弓尸心	NSP	急
弓尸口口	NSRR	彄
弓尸尸	NSS	弡
弓尸女	NSV	㜈
弓廿月竹	NTBH	彅
弓廿月山山	NTBUU	覴
弓廿竹日火	NTHAF	䳾
弓廿竹月	NTHB	㣁
弓廿竹手山	NTHQU	㲪
弓廿戈	NTI	戤
弓廿大尸	NTKS	勐
弓廿中弓	NTLN	㔁
弓廿一金	NTMC	彉
弓廿一女弓	NTMVN	㽅
弓廿弓中	NTNL	𨜏鄧
弓山	NU	乙㢫
弓山日月	NUAB	𡦀
弓山月廿	NUBT	盌
弓山月山	NUBU	眢
弓山水	NUE	函弢
弓山竹日火	NUHAF	鴛
弓山竹手山	NUHQU	䶰
弓山戈	NUI	兔
弓山十水	NUJE	㩻
弓山大尸	NUKS	勉
弓山中月	NULB	㠾
弓山中一戈	NULMI	䖤
弓山一月金	NUMBC	頠顄
弓山一女弓	NUMVN	㼝
弓山弓戈	NUNI	㢷
弓山弓中	NUNL	䣀
弓山心	NUP	怨
弓山心卜一	NUPYM	鸳
弓山尸手火	NUSQF	駌
弓山女	NUV	妴
弓山田	NUW	㽜
弓女	NV	饣
弓女日一土	NVAMG	䭪
弓女日心心	NVAPP	馄
弓女日田水	NVAWE	馒
弓女月月月	NVBBB	馉
弓女月女	NVBV	馁
弓女木日一	NVDAM	馇
弓女土戈廿	NVGIT	馌
弓女竹月口	NVHBR	饷
弓女竹水	NVHE	饭
弓女竹水口	NVHER	饹
弓女竹土	NVHG	饪
弓女竹竹田	NVHHW	馏
弓女竹大	NVHK	饫
弓女竹弓	NVHN	饥
弓女竹心	NVHP	饦
弓女竹手戈	NVHQI	饿
弓女竹難水	NVHXE	馊
弓女戈月戈	NVIBI	馎
弓女戈金水	NVICE	馂
弓女戈十	NVIJ	饯
弓女戈口	NVIR	饴
弓女十月木	NVJBD	饽
弓女十月女	NVJBV	馕
弓女十心山	NVJPU	饶
弓女十口口	NVJRR	馆
弓女中戈戈	NVLII	䗺
弓女中一戈	NVLMI	蚀
弓女中一人	NVLMO	馈
弓女一弓	NVMN	饤
弓女一口廿	NVMRT	饾
弓女弓竹難	NVNHX	馅
弓女弓人	NVNO	饮
弓女弓尸竹	NVNSH	饧
弓女弓山卜	NVNUY	馋
弓女人大尸	NVOKS	饬
弓女人中月	NVOLB	饰
弓女人一木	NVOMD	馀
弓女人一弓	NVOMN	饩
弓女人一口	NVOMR	饸
弓女心口山	NVPRU	饱
弓女心山	NVPU	饨
弓女口山金	NVRUC	馔
弓女尸十	NVSJ	饵
弓女尸一	NVSM	马
弓女尸一口	NVSMR	饲
弓女廿日大	NVTAK	馍
弓女廿月大	NVTBK	馓
弓女廿中一	NVTLM	馑
弓女廿手土	NVTQG	馐
弓女廿廿	NVTT	饼
弓女山山	NVUU	饳
弓女田木	NVWD	馃
弓女卜金大	NVYCK	饺
弓女卜竹女	NVYHV	饻
弓田	NW	乪
弓田月山水	NWBUE	𡕷
弓田火	NWF	魚
弓田火日	NWFA	魯
弓田中一戈	NWLMI	螴
弓田中山	NWLU	亀
弓田中女	NWLV	彋
弓田一	NWM	鱼
弓田一日	NWMA	鲁
弓田弓戈	NWNI	㢴
弓田廿十	NWTJ	彃
弓田山	NWU	龟
弓難	NX	卍
弓難火火	NXFF	燄
弓難竹日火	NXHAF	鵮
弓難弓人	NXNO	欿
弓難心卜一	NXPYM	鹐
弓難山	NXU	龜
弓卜月弓	NYBN	㣃
弓卜月山	NYBU	䀤
弓卜水	NYE	㢭
弓卜大	NYK	买
弓卜人	NYO	疋
弓卜口木	NYRD	弴
弓卜口火	NYRF	弶
弓卜口心	NYRP	夞
弓卜廿十	NYTJ	㢹
弓卜廿女	NYTV	㢺
弓卜女戈	NYVI	弦
人	O	人
人日	OA	㒲
人日日	OAA	倡
人日月山山	OABUU	䚐
人日竹水	OAHE	复
人日竹山	OAHU	𠋥
人日竹田十	OAHWJ	朇
人日戈中	OAIL	㑡
人日中弓	OALN	劊
人日一	OAM	但
人日一竹	OAMH	偒
人日一人	OAMO	偍
人日弓	OAN	們
人日弓日	OANA	僴
人日弓月	OANB	僩
人日弓中	OANL	鄶
人日心竹	OAPH	㑥
人日心心	OAPP	倱
人日心女	OAPV	偈
人日尸一	OASM	傝
人日廿水	OATE	儤
人日女	OAV	佷
人日女火	OAVF	儑
人日田水	OAWE	僈
人日卜火	OAYF	𠎠
人月	OB	仴內
人月日山	OBAU	俷
人月月	OBB	倗
人月月月	OBBB	傦
人月月水	OBBE	僾
人月月手	OBBQ	僢
人月金竹	OBCH	儩
人月金弓	OBCN	側
人月木	OBD	倸
人月火	OBF	㷶
人月土	OBG	隺
人月土月	OBGB	偁
人月土口	OBGR	倜
人月竹日火	OBHAF	鸙
人月竹木	OBHD	龢
人月竹火	OBHF	僞
人月竹山	OBHU	伔
人月竹卜山	OBHYU	𧈛䶵
人月十十	OBJJ	㑮
人月大火	OBKF	㒄
人月一	OBM	伹
人月一月金	OBMBC	龥
人月一金	OBMC	俱
人月一心	OBMP	㒚
人月一口	OBMR	侗
人月弓木	OBND	俘
人月弓人	OBNO	龡
人月人	OBO	肉
人月人火	OBOF	傺
人月人弓	OBON	侧
人月人山	OBOU	傜
人月心	OBP	憊
人月心心日	OBPPA	龤
人月手	OBQ	佣
人月口	OBR	㕯
人月尸一一	OBSMM	𦒈
人月山金	OBUC	倶
人月山火	OBUF	㒡
人月山山	OBUU	俔
人月女	OBV	俀
人月女大	OBVK	傒
人月女弓水	OBVNE	龣
人月卜竹弓	OBYHN	䶳
人月卜口	OBYR	㑾
人金	OC	仈
人金月	OCB	佾
人金戈	OCI	伀
人金戈一	OCIM	傟
人金戈心	OCIP	倊
人金弓竹	OCNH	俤
人金人口	OCOR	俗
人金口山	OCRU	侻
人金尸竹	OCSH	份
人金田日	OCWA	僧
人木	OD	休
人木月山金	ODBUC	賲
人木金	ODC	鎥
人木金戈	ODCI	倯
人木木	ODD	㑣
人木木火	ODDF	僸
人木木人	ODDO	儊
人木水	ODE	叙
人木火	ODF	溣烋㷛
人木土	ODG	堡
人木竹	ODH	𠆫
人木竹日火	ODHAF	䳜
人木竹水	ODHE	佊
人木竹火	ODHF	鵂
人木戈	ODI	付
人木中	ODL	㑛
人木一	ODM	体
人木一手	ODMQ	偉
人木弓中	ODNL	䣄
人木人土	ODOG	䨀雓
人木人十	ODOJ	𠓼
人木人大	ODOK	敘
人木人人	ODOO	倈
人木心	ODP	怹恷
人木心一	ODPM	鸺
人木口難山	ODRXU	䵹
人木尸一土	ODSMG	糴
人木廿	ODT	俫
人木田	ODW	倲𤲞
人木卜水	ODYE	敍
人木卜十	ODYJ	斜
人水	OE	仅氽汆㲻
人水人土	OEOG	傩
人水女戈火	OEVIF	䌓
人火	OF	伙尒尓
人火月	OFB	俏
人火月金	OFBC	償
人火月木	OFBD	㒉
人火月火	OFBF	儻
人火月土	OFBG	㑽
人火月戈	OFBI	偿
人火月大	OFBK	僘
人火月口	OFBR	倘
人火月山	OFBU	傥
人火月田	OFBW	儅
人火木	OFD	籴
人火木手	OFDQ	僯
人火木女	OFDV	偻
人火火	OFF	倓
人火火木	OFFD	儝
人火火土	OFFG	𠐓
人火火弓	OFFN	㒌
人火火尸	OFFS	僗
人火竹	OFH	仯
人火竹日水	OFHAE	㶗
