日	A	日曰
日弓一十大	ANMJK	闞
日弓一中一	ANMLM	閸
日弓一一一	ANMMM	閆
日弓一一口	ANMMR	䦜
日弓一一山	ANMMU	䦎
日弓一弓	ANMN	閅
日弓一弓口	ANMNR	閜
日弓一口	ANMR	䦒
日弓一尸人	ANMSO	䦠
日弓一廿	ANMT	開
日弓一廿戈	ANMTI	闘
日弓一女竹	ANMVH	閕
日弓一田土	ANMWG	闉
日弓一田女	ANMWV	闄
日弓一卜	ANMY	閇
日弓弓金口	ANNCR	䦲
日弓弓竹難	ANNHX	閻
日弓弓大土	ANNKG	閮
日弓弓人大	ANNOK	闋
日弓弓尸木	ANNSD	䦛
日弓弓田山	ANNWU	䦰
日弓人	ANO	欥閃
日弓人土	ANOG	閵
日弓人戈	ANOI	閥
日弓人戈戈	ANOII	閝
日弓人大	ANOK	暌
日弓人中中	ANOLL	䦏
日弓人一金	ANOMC	𨴴
日弓人一一	ANOMM	闟
日弓人一口	ANOMR	閤
日弓人弓	ANON	䦍
日弓人人土	ANOOG	䦟
日弓人人人	ANOOO	閦
日弓心	ANP	悶𨳍
日弓心竹	ANPH	閟
日弓手	ANQ	䦐
日弓手竹大	ANQHK	䦬
日弓手大日	ANQKA	䦮
日弓手人山	ANQOU	闚
日弓口	ANR	問
日弓口竹口	ANRHR	閭
日弓口口十	ANRRJ	闡
日弓口口口	ANRRR	闆
日弓尸竹	ANSH	旸
日弓尸十	ANSJ	聞
日弓尸手火	ANSQF	闖
日弓尸口十	ANSRJ	闢
日弓廿金	ANTC	閧
日弓廿金山	ANTCU	闀
日弓廿大	ANTK	関
日弓廿中大	ANTLK	䦫
日弓廿廿	ANTT	䦕
日弓廿山人	ANTUO	闕
日弓廿田廿	ANTWT	闦
日弓山	ANU	閊
日弓山一廿	ANUMT	闓
日弓山尸	ANUS	𣈳
日弓女火火	ANVFF	𨶹
日弓女竹中	ANVHL	䦳
日弓女戈火	ANVIF	闗
日弓女戈廿	ANVIT	關
日弓田木	ANWD	閫
日弓田中	ANWL	閘
日弓田中十	ANWLJ	䦴
日弓田中女	ANWLV	闤
日弓卜土手	ANYGQ	闥
日弓卜土女	ANYGV	闧
日弓卜竹弓	ANYHN	閌
日弓卜竹尸	ANYHS	閍
日弓卜十	ANYJ	閗
日弓卜大	ANYK	閔
日弓卜中月	ANYLB	閙
日弓卜一口	ANYMR	誾
日弓卜口	ANYR	䦓
日弓卜尸卜	ANYSY	閼
日弓卜廿	ANYT	閚
日弓卜廿日	ANYTA	闇
日弓卜廿口	ANYTR	䦣
日弓卜女人	ANYVO	閡
日人木一手	AODMQ	韙
日人火竹	AOFH	尟
日人土	AOG	㫿
日人竹日火	AOHAF	鶗
日人竹竹	AOHH	昣
日人戈戈	AOII	昤
日人戈弓	AOIN	昑
日人戈口	AOIR	晗
日人十	AOJ	旿
日人中弓	AOLN	㓳
日人一月	AOMB	㫻
日人一月金	AOMBC	題
日人一月人	AOMBO	题
日人一弓	AOMN	𣈥𣈯
日人一女弓	AOMVN	㼵
日人弓	AON	㫓
日人弓木	AOND	暣
日人弓大	AONK	㬋
日人心	AOP	匙
